Lp.;NieruchomoúÊ;Numer;Zmiana od;Liczba mieszkaÒcÛw;Stawka
31;63-300 PLESZEW, Borucin 17B;1210/2025;2025.06.01;5;195
32;63-300 Pleszew, Borucin 17C;963/2022;2022.08.01;3;114
33;63-300 PLESZEW, Borucin 18;2037/2025;2025.10.01;7;273
34;63-300 PLESZEW, Borucin 19;721/2024;2024.06.01;6;228
35;63-300 PLESZEW, Borucin 19A;728/2024;2023.01.01;5;195
36;63-300 PLESZEW, Borucin 20;981/2024;2024.08.01;3;117
37;63-300 PLESZEW, Borucin 21;;2019.02.01;5;195
38;63-300 PLESZEW, Borucin 22;453/2022;2022.03.01;6;228
39;63-300 PLESZEW, Borucin 22A;2680/2020;2020.08.01;6;228
40;63-300 PLESZEW, Borucin 22B;2679/2020;2020.08.01;4;152
41;63-300 PLESZEW, Borucin 23;133/2021;2021.01.01;3;114
42;63-300 PLESZEW, Borucin 24;2525/2020;2020.08.01;2;76
43;63-300 PLESZEW, Borucin 25;1699/2020;2020.08.01;2;76
44;63-300 Pleszew, Borucin 26;1271/2022;2022.05.01;6;228
45;63-300 PLESZEW, Borucin 27;1522/2025;2025.06.01;5;195
46;63-300 PLESZEW, BÛgwidze 1;91/2021;2021.01.01;1;38
47;63-300 PLESZEW, BÛgwidze 2;189/2026;2026.01.01;2;76
48;63-300 PLESZEW, BÛgwidze 3;1368/2024;2024.11.01;4;152
49;63-300 PLESZEW, BÛgwidze 4;725/2021;2021.05.01;2;76
50;63-300 PLESZEW, BÛgwidze 4A;;2019.02.01;4;156
51;63-300 PLESZEW, BÛgwidze 4B;1848/2021;2021.09.01;4;156
52;63-300 PLESZEW, BÛgwidze 4C;;2019.11.01;3;117
53;63-300 PLESZEW, BÛgwidze 4D;938/2025;2025.03.01;3;114
54;63-300 PLESZEW, BÛgwidze 5;;2019.02.01;4;156
55;63-300 Pleszew, BÛgwidze 6;872/2024;2024.07.01;5;195
56;63-300 PLESZEW, BÛgwidze 6A;3384/2020;2020.10.01;6;228
57;63-300 PLESZEW, BÛgwidze 6B;2548/2020;2020.08.01;2;76
58;63-300 PLESZEW, BÛgwidze 6C;1702/2023;2023.10.01;4;156
59;63-300 PLESZEW, BÛgwidze 7;;2019.02.01;3;117
60;63-300 PLESZEW, BÛgwidze 10;1909/2025;2025.10.01;6;234
61;63-300 Pleszew, BÛgwidze 11;1446/2025;2025.05.01;29;1131
62;63-300 Pleszew, BÛgwidze 12;942/2025;2025.01.01;17;663
63;63-300 PLESZEW, BÛgwidze 13;;2019.08.01;16;624
64;63-300 Pleszew, BÛgwidze 14;1069/2025;2025.04.01;31;1209
65;63-300 PLESZEW, BÛgwidze 16;1226/2023;2023.09.01;11;429
66;63-300 PLESZEW, BÛgwidze 17;1240/2023;2023.09.01;4;152
67;63-300 PLESZEW, BÛgwidze, WIEå 1;139/2023;2023.01.01;1;39
68;63-300 PLESZEW, BÛgwidze, Wieú 2;483/2023;2023.03.01;2;78
69;63-300 PLESZEW, BÛgwidze, Wieú 3;1798/2025;2025.10.01;4;156
70;63-300 PLESZEW, BÛgwidze, Wieú 5;;2019.02.01;2;78
71;63-300 Pleszew, BÛgwidze, Wieú 6;;2019.02.01;2;78
72;63-300 PLESZEW, BÛgwidze, Wieú 7;;2019.02.01;3;117
73;63-300 PLESZEW, BÛgwidze, Wieú 9;;2019.02.01;1;39
74;63-300 PLESZEW, BÛgwidze, Wieú 10;2471/2020;2020.08.01;4;152
75;63-300 PLESZEW, BÛgwidze, Wieú 11;1667/2025;2025.09.01;3;117
76;63-300 Pleszew, BÛgwidze, Wieú 13;662/2023;2023.05.01;1;38
77;63-300 PLESZEW, BÛgwidze, Wieú 14;1464/2021;2021.08.01;3;117
78;63-300 Pleszew, BronÛw 1;;2019.02.01;5;195
79;63-300 PLESZEW, BronÛw 2;1191/2024;2024.09.01;2;78
80;63-300 Pleszew, BronÛw 3;;2019.02.01;6;234
81;63-300 PLESZEW, BronÛw 4;1269/2024;2024.11.01;1;38
82;63-300 Pleszew, BronÛw 5;68/2021;2021.01.01;6;228
83;63-300 PLESZEW, BronÛw 6;1369/2023;2023.10.01;4;152
84;63-300 PLESZEW, BronÛw 6a;;2019.12.01;4;156
85;63-300 Pleszew, BronÛw 7;1576/2025;2025.08.01;3;117
86;63-300 Pleszew, BronÛw 7a;639/2023;2023.04.01;2;76
87;63-300 Pleszew, BronÛw 8;278/2021;2021.02.01;3;114
88;63-300 Pleszew, BronÛw 9;2080/2020;2020.08.01;6;228
89;63-300 PLESZEW, BronÛw 10;1224/2025;2025.01.01;3;114
90;63-300 Pleszew, BronÛw 11;619/2023;2023.04.01;4;156
91;63-300 PLESZEW, BronÛw 12;3181/2020;2020.10.01;5;190
92;63-300 Pleszew, BronÛw 13;;2019.02.01;3;117
93;63-300 Pleszew, BronÛw 14;;2019.02.01;4;156
94;63-300 Pleszew, BronÛw 15;;2019.02.01;4;156
95;63-300 Pleszew, BronÛw 16;348/2021;2021.02.01;4;152
96;63-300 Pleszew, BronÛw 17;347/2021;2021.02.01;2;76
97;63-300 Pleszew, BronÛw 18;1650/2022;2022.11.01;6;228
98;63-300 Pleszew, BronÛw 19;2589/2020;2020.08.01;2;76
99;63-300 PLESZEW, BronÛw 20a;2247/2025;2026.01.01;3;117
100;63-300 PLESZEW, BronÛw 20B;;2019.07.01;3;117
101;63-300 PLESZEW, BronÛw 20C;3058/2020;2020.10.01;4;156
102;63-300 Pleszew, BronÛw 21;2480/2020;2020.08.01;2;76
103;63-300 Pleszew, BronÛw 21A;2435/2020;2020.08.01;3;114
104;63-300 Pleszew, BronÛw 22;704/2024;2024.06.01;8;304
105;63-300 Pleszew, BronÛw 23;;2019.02.01;5;195
106;63-300 PLESZEW, BronÛw 24;80/2023;2023.01.01;1;38
107;63-300 Pleszew, BronÛw 24A;;2019.02.01;4;156
108;63-300 PLESZEW, BronÛw 25;897/2025;2025.02.01;4;156
109;63-300 Pleszew, BronÛw 25A;104/2023;2023.01.01;4;156
110;63-300 PLESZEW, BronÛw 26/1;;2019.02.01;1;39
111;63-300 PLESZEW, BronÛw 26/2;87/2024;2024.02.01;4;156
112;63-300 PLESZEW, BronÛw 26/3;885/2023;2023.07.01;4;156
113;63-300 PLESZEW, BronÛw 26/4;;2019.02.01;2;78
114;63-300 PLESZEW, BronÛw 27/1;1127/2025;2025.05.01;2;78
115;63-300 PLESZEW, BronÛw 27/2;1128/2025;2025.05.01;1;39
116;63-300 PLESZEW, BronÛw 27/4;1129/2025;2025.05.01;1;39
117;63-300 PLESZEW, BronÛw 28;60/2026;2026.01.01;9;351
118;63-300 PLESZEW, BronÛw 29;59/2026;2026.01.01;27;1053
119;63-300 PLESZEW, BronÛw 30;58/2026;2026.01.01;5;195
120;63-300 PLESZEW, BronÛw 32;57/2026;2026.01.01;14;546
121;63-300 Pleszew, BronÛw 33/2;;2019.02.01;3;117
122;63-300 Pleszew, BronÛw 36;1977/2025;2025.11.01;16;624
123;63-300 Pleszew, BronÛw 37/2;1103/2024;2024.10.01;2;78
124;63-300 PLESZEW, BronÛw 39/1;;2019.11.01;5;195
125;63-300 PLESZEW, BronÛw 39/2;569/2022;2022.04.01;2;78
126;63-300 PLESZEW, BronÛw 40;790/2024;2024.07.01;7;273
127;63-300 PLESZEW, BronÛw 40A;980/2022;2022.07.01;7;266
128;63-300 PLESZEW, BronÛw 41;92/2024;2024.02.01;2;78
129;63-300 PLESZEW, BronÛw 41A;701/2022;2022.01.01;4;156
130;63-300 Pleszew, BronÛw 42;1349/2025;2025.05.01;10;380
131;63-300 Pleszew, BronÛw 44;;2019.02.01;2;78
132;63-300 PLESZEW, BronÛw 45;;2019.02.01;1;39
133;63-300 Pleszew, BronÛw 45C;;2019.02.01;5;195
134;63-300 Pleszew, BronÛw 45E;235/2026;2026.01.01;3;117
135;63-300 PLESZEW, BronÛw 45F;725/2024;2024.06.01;5;195
136;63-300 Pleszew, BronÛw 45G;1726/2025;2025.09.01;2;78
137;63-300 PLESZEW, BronÛw 45H;;2019.02.01;3;117
138;63-300 Pleszew, BronÛw 45i;1375/2024;2024.11.01;2;78
139;63-300 Pleszew, BronÛw 46;1921/2020;2020.08.01;5;190
140;63-300 Pleszew, BronÛw 46A;1676/2025;2025.07.01;5;195
141;63-300 Pleszew, BronÛw 47;;2019.02.01;6;234
142;63-300 Pleszew, BronÛw 48;3412/2020;2020.11.01;2;78
143;63-300 Pleszew, BronÛw 49;;2019.02.01;2;78
144;63-300 PLESZEW, Brzezie 168/2;184/2021;2021.01.01;1;39
145;63-300 PLESZEW, Brzezie, Bogdanowskiego nr dzia≥ki 37/3;1602A/2021;2021.10.01;3;117
146;63-300 Pleszew, Brzezie, DÍbowa 1;1627/2022;2022.12.01;6;228
147;63-300 Pleszew, Brzezie, DÍbowa 2;714/2021;2021.04.01;7;266
148;63-300 PLESZEW, Brzezie, DÍbowa 4;;2020.04.01;3;117
149;63-300 PLESZEW, Brzezie, D BOWA 4A;381/2022;2022.03.01;5;190
150;63-300 PLESZEW, Brzezie, DÍbowa 4B;847/2025;2025.02.01;2;78
151;63-300 Pleszew, Brzezie, DÍbowa 4c;;2020.05.01;5;195
152;63-300 PLESZEW, Brzezie, DÍbowa 5;1220B/2022;2022.06.01;2;78
153;63-300 PLESZEW, Brzezie, DÍbowa 5;1772/2025;2025.09.01;4;152
154;63-300 Pleszew, Brzezie, DÍbowa 6;1559/2021;2021.09.01;1;39
155;63-300 PLESZEW, Brzezie, DÍbowa 6A;268/2024;2024.03.01;4;156
156;63-300 Pleszew, Brzezie, Koúcielna 1;463/2023;2023.03.01;1;38
157;63-300 PLESZEW, Brzezie, Koúcielna 5;1289/2022;2022.03.01;4;156
158;63-300 Pleszew, Brzezie, Koúcielna 9;1546/2025;2025.07.01;4;156
159;63-300 PLESZEW, Brzezie, Koúcielna 11;;2019.02.01;1;39
160;63-300 Pleszew, Brzezie, Koúcielna 11A;55/2023;2023.01.01;4;152
161;63-300 Pleszew, Brzezie, Koúcielna 12;101/2024;2024.01.01;1;39
162;63-300 Pleszew, Brzezie, Koúcielna 13;3392/2020;2020.11.01;5;190
163;63-300 PLESZEW, Brzezie, Koúcielna 14;855/2022;2022.05.01;4;156
164;63-300 Pleszew, Brzezie, Koúcielna 15;328/2023;2023.02.01;5;190
165;63-300 Pleszew, Brzezie, Koúcielna 16;465/2023;2023.04.01;9;342
166;63-300 Pleszew, Brzezie, Koúcielna 17;1195/2025;2025.04.01;3;117
167;63-300 PLESZEW, Brzezie, Koúcielna 19;3067/2020;2020.09.01;2;76
168;63-300 Pleszew, Brzezie, Koúcielna 21;1869/2022;2023.01.01;6;228
169;63-300 Pleszew, Brzezie, Koúcielna 23;;2019.11.01;3;117
170;63-300 PLESZEW, Brzezie, Koúcielna 23A;;2020.03.01;5;195
171;63-300 PLESZEW, Brzezie, KOåCIELNA 25;464/2023;2023.04.01;1;39
172;63-300 PLESZEW, Brzezie, Koúcielna 27;279/2021;2021.02.01;2;78
173;63-300 Pleszew, Brzezie, Koúcielna 29;423/2023;2023.03.01;6;228
174;63-300 PLESZEW, Brzezie, Koúcielna 33;1990/2020;2020.08.01;7;266
175;63-300 PLESZEW, Brzezie, Laskowa 1;2149/2025;2026.01.01;3;117
176;63-300 Pleszew, Brzezie, Leúna 2;;2019.02.01;1;39
177;63-300 Pleszew, Brzezie, Leúna 3;;2019.02.01;2;78
178;63-300 Pleszew, Brzezie, Leúna 4;1079/2021;2021.06.01;3;114
179;63-300 Pleszew, Brzezie, Leúna 5;;2019.02.01;3;117
180;63-300 PLESZEW, Brzezie, Leúna 6;1085/2025;2025.04.01;2;78
181;63-300 PLESZEW, Brzezie, Leúna 7;525/2022;2022.04.01;3;117
182;63-300 Pleszew, Brzezie, Leúna 8;667/2022;2022.05.01;4;156
183;63-300 PLESZEW, Brzezie, Leúna 9;2090/2025;2025.12.01;3;117
184;63-300 Pleszew, Brzezie, Leúna 10;;2019.02.01;1;39
185;63-300 Pleszew, Brzezie, Leúna 11;942/2021;2021.05.01;3;117
186;63-300 Pleszew, Brzezie, Leúna 12;;2019.02.01;3;117
187;63-300 PLESZEW, Brzezie, Leúna 13;2735/2020;2020.08.01;2;76
188;63-300 Pleszew, Brzezie, Leúna 14;165/2024;2024.02.01;1;39
189;63-300 PLESZEW, Brzezie, Osiedlowa 1;1593/2021;2021.09.01;4;152
190;63-300 Pleszew, Brzezie, Osiedlowa 2;;2019.02.01;3;117
191;63-300 PLESZEW, Brzezie, Osiedlowa 3;1262/2021;2021.08.01;2;78
192;63-300 Pleszew, Brzezie, Osiedlowa 4;1276/2023;2023.10.01;2;78
193;63-300 Pleszew, Brzezie, Osiedlowa 5;368/2025;2025.01.01;2;76
194;63-300 PLESZEW, Brzezie, Osiedlowa 6;;2019.02.01;4;156
195;63-300 Pleszew, Brzezie, Osiedlowa 7;2158/2025;2026.01.01;2;78
196;63-300 Pleszew, Brzezie, Osiedlowa 8;;2019.02.01;2;78
197;63-300 Pleszew, Brzezie, Osiedlowa 11;1549/2023;2023.12.01;2;78
198;63-300 Pleszew, Brzezie, Osiedlowa 12;959/2025;2025.03.01;5;195
199;63-300 PLESZEW, Brzezie, Osiedlowa 13;704/2025;2025.02.01;5;190
200;63-300 Pleszew, Brzezie, Osiedlowa 14;2000/2022;2023.01.01;2;78
201;63-300 PLESZEW, Brzezie, Osiedlowa 16;;2019.10.01;2;78
202;63-300 PLESZEW, Brzezie, Osiedlowa 17;129/2023;2023.01.01;2;78
203;63-300 PLESZEW, Brzezie, Osiedlowa 18;267/2024;2024.03.01;6;234
204;63-300 PLESZEW, Brzezie, Osiedlowa 19;1040/2021;2021.08.01;2;76
205;63-300 PLESZEW, Brzezie, Osiedlowa 20;;2019.02.01;4;156
206;63-300 Pleszew, Brzezie, Osiedlowa 22;2473/2025;2026.01.01;1;39
207;63-300 Pleszew, Brzezie, Osiedlowa 23;;2020.01.01;3;117
208;63-300 Pleszew, Brzezie, Osiedlowa 24;433/2024;2024.04.01;6;234
209;63-300 PLESZEW, Brzezie, Osiedlowa 26;1142/2025;2025.04.01;4;156
210;63-300 Pleszew, Brzezie, Pleszewska 3;3535/2020;2020.11.01;4;152
211;63-300 Pleszew, Brzezie, Pleszewska 3A;2061/2025;2025.11.01;4;152
212;63-300 PLESZEW, Brzezie, Pleszewska 5;397/2024;2024.03.01;6;228
213;63-300 Pleszew, Brzezie, Pleszewska 8;;2019.02.01;1;39
214;63-300 Pleszew, Brzezie, Pleszewska 11;1560/2023;2023.11.01;6;228
215;63-300 PLESZEW, Brzezie, Pleszewska 12;421/2022;2022.03.01;3;114
216;63-300 PLESZEW, Brzezie, Pleszewska 14;1202/2023;2023.09.01;1;38
217;63-300 Pleszew, Brzezie, Pleszewska 14A;1675/2020;2020.08.01;4;152
218;63-300 Pleszew, Brzezie, Pleszewska 16;2305/2025;2026.01.01;14;546
219;63-300 Pleszew, Brzezie, Pleszewska 17;;2020.01.01;1;39
220;63-300 Pleszew, Brzezie, Pleszewska 18;2307/2025;2026.01.01;7;273
221;63-300 Pleszew, Brzezie, StawiszyÒska 4;;2019.02.01;3;117
222;63-300 PLESZEW, Brzezie, StawiszyÒska 5;1256/2025;2025.04.01;14;546
223;63-300 Pleszew, Brzezie, StawiszyÒska 7;;2019.02.01;3;117
224;63-300 PLESZEW, Brzezie, StawiszyÒska 8,10,12,14;2029/2025;2025.10.01;90;3510
225;63-300 PLESZEW, Brzezie, StawiszyÒska 9;254/2026;2026.01.01;7;273
226;63-300 PLESZEW, Brzezie, StawiszyÒska 11;1703/2025;2025.09.01;3;117
227;63-300 Pleszew, Brzezie, StawiszyÒska 13;3182/2020;2020.10.01;6;234
228;63-300 Pleszew, Brzezie, StawiszyÒska 15;143/2022;2022.01.01;3;114
229;63-300 PLESZEW, Brzezie, StawiszyÒska 17;1756/2025;2025.10.01;5;190
230;63-300 Pleszew, Brzezie, StawiszyÒska 19;2089/2025;2025.12.01;2;78
231;63-300 Pleszew, Brzezie, StawiszyÒska 20/1;1200/2025;2025.05.01;1;39
232;63-300 Pleszew, Brzezie, StawiszyÒska 20/2;2395/2025;2026.01.01;2;78
233;63-300 Pleszew, Brzezie, StawiszyÒska 20/3;1262/2025;2025.05.01;1;39
234;63-300 Brzezie, StawiszyÒska 20/4;1201/2025;2025.05.01;4;156
235;63-300 PLESZEW, Brzezie, StawiszyÒska 20/5;2394/2025;2026.01.01;1;39
236;63-300 PLESZEW, Brzezie, StawiszyÒska 21;;2019.02.01;3;117
237;63-300 Pleszew, Brzezie, StawiszyÒska 22;2916/2020;2020.09.01;4;152
238;63-300 PLESZEW, Brzezie, StawiszyÒska 22A;570/2024;2024.03.01;3;117
239;63-300 Pleszew, Brzezie, StawiszyÒska 23;;2019.02.01;3;117
240;63-300 PLESZEW, Brzezie, StawiszyÒska 24;1946/2025;2025.10.01;1;39
241;63-300 Pleszew, Brzezie, StawiszyÒska 25;1364/2022;2020.08.01;3;117
242;63-300 Pleszew, Brzezie, StawiszyÒska 28;1868/2020;2020.08.01;3;114
243;63-300 PLESZEW, Brzezie, StawiszyÒska 29;;2019.02.01;1;39
244;63-300 PLESZEW, Brzezie, StawiszyÒska 30;1556/2024;2025.01.01;3;114
245;63-300 Pleszew, Brzezie, StawiszyÒska 31;147/2025;2025.01.01;2;78
246;63-300 Pleszew, Brzezie, StawiszyÒska 32;745/2021;2021.03.01;4;152
247;63-300 Pleszew, Brzezie, StawiszyÒska 33;;2019.02.01;4;156
248;63-300 Pleszew, Brzezie, StawiszyÒska 34;1886/2025;2025.09.01;4;156
249;63-300 PLESZEW, Brzezie, StawiszyÒska 35;2777/2020;2020.09.01;4;156
250;63-300 Pleszew, Brzezie, StawiszyÒska 36;;2019.02.01;1;39
251;63-300 PLESZEW, Brzezie, StawiszyÒska 37;2497/2025;2026.01.01;3;117
252;63-300 PLESZEW, Brzezie, StawiszyÒska 39;;2020.02.01;2;78
253;63-300 PLESZEW, Brzezie, STAWISZY—SKA 41;1214/2024;2024.07.01;3;117
254;63-300 PLESZEW, Brzezie, StawiszyÒska 43;215/2022;2022.01.01;5;195
255;63-300 PLESZEW, Brzezie, StawiszyÒska 49;;2019.10.01;6;234
256;63-300 PLESZEW, Brzezie, Witosa 2;;2019.02.01;2;78
257;63-300 Pleszew, Brzezie, Witosa 4;;2019.02.01;4;156
258;63-300 Pleszew, Brzezie, Witosa 6;1602/2021;2021.10.01;9;351
259;63-300 Pleszew, Brzezie, Witosa 8;392/2025;2025.01.01;5;195
260;63-300 PLESZEW, Brzezie, Witosa 10;;2019.02.01;1;39
261;63-300 Pleszew, Brzezie, Witosa 16;665/2024;2024.06.01;4;152
262;63-300 Pleszew, Brzezie, Witosa 18;553/2022;2022.03.01;4;156
263;63-300 Pleszew, Brzezie, Zachodnia 1;1608/2020;2020.08.01;5;190
264;63-300 PLESZEW, Brzezie, Zachodnia 3;;2020.01.01;2;78
265;63-300 PLESZEW, Brzezie, Zachodnia 7;3374/2020;2020.11.01;3;114
266;63-300 PLESZEW, Brzezie, Zachodnia 11;1672/2023;2023.11.01;4;156
267;63-300 Pleszew, Brzezie, Zawidowicka 1;220/2025;2025.01.01;2;78
268;63-300 PLESZEW, Brzezie, Zawidowicka 2;1091/2022;2022.04.01;4;156
269;63-300 Pleszew, Brzezie, Zawidowicka 3;1619/2020;2020.08.01;3;114
270;63-300 PLESZEW, Brzezie, Zawidowicka 4;1275/2024;2024.10.01;4;156
271;63-300 Pleszew, Brzezie, Zawidowicka 5;582/2023;2023.04.01;4;152
272;63-300 PLESZEW, Brzezie, ZAWIDOWICKA 6;1204/2025;2025.03.01;3;117
273;63-300 Pleszew, Brzezie, Zawidowicka 8;;2019.02.01;3;117
274;63-300 PLESZEW, Brzezie, ZAWIDOWICKA 10;926/2024;2024.08.01;1;39
275;63-300 PLESZEW, Brzezie, Zawidowicka 12;;2019.02.01;4;156
276;63-300 Pleszew, Brzezie, Zawidowicka 13;;2019.02.01;2;78
277;63-300 Pleszew, Brzezie, Zawidowicka 14;112/2024;2024.01.01;4;156
278;63-300 PLESZEW, Brzezie, Zawidowicka 15;;2019.09.01;6;234
279;63-300 PLESZEW, Brzezie, ZAWIDOWICKA 16;609/2024;2024.06.01;3;114
280;63-300 Pleszew, Brzezie, Zawidowicka 18;1820/2020;2020.08.01;3;114
281;63-300 Pleszew, Brzezie, Zawidowicka 21;157/2023;2023.01.01;6;234
282;63-300 Pleszew, Brzezie, Zawidowicka 22A;1396/2024;2024.11.01;3;117
283;63-300 Pleszew, Brzezie, Zawidowicka 22B;;2019.02.01;6;234
284;63-300 Pleszew, Brzezie, Zawidowicka 22c;;2019.02.01;3;117
285;63-300 Pleszew, Brzezie, Zawidowicka 22D;1229/2025;2025.04.01;2;78
286;63-300 Pleszew, Brzezie, Zawidowicka 22F;722/2022;2022.05.01;2;78
287;63-300 PLESZEW, Brzezie, Zawidowicka 22G;;2019.02.01;2;78
288;63-300 Pleszew, Brzezie, Zawidowicka 24;1004/2021;2021.06.01;8;312
289;63-300 PLESZEW, Brzezie, Zawidowicka 24B;;2019.02.01;3;117
290;63-300 PLESZEW, Brzezie, Zawidowicka 26;1274/2023;2023.09.01;4;156
291;63-300 PLESZEW, Brzezie, Zawidowicka 30A;;2019.02.01;1;39
292;63-300 PLESZEW, Chorzew 1/1;1913/2025;2025.10.01;2;78
293;63-300 PLESZEW, Chorzew 1/2;1197/2024;2024.09.01;3;117
294;63-300 PLESZEW, Chorzew 1/3;98/2023;2023.01.01;3;117
295;63-300 PLESZEW, Chorzew 1/4;608/2022;2022.02.01;1;39
296;63-300 PLESZEW, Chorzew 1/5;;2019.02.01;2;78
297;63-300 Pleszew, Chorzew 3/1;1858/2025;2025.10.01;5;195
298;63-300 PLESZEW, Chorzew 3/2;;2019.10.01;2;78
299;63-300 PLESZEW, Chorzew 3/3;1472/2022;2022.10.01;3;117
300;63-300 PLESZEW, Chorzew 3/4;;2019.02.01;2;78
301;63-300 PLESZEW, Chorzew 3/5;;2020.01.01;4;156
302;63-300 PLESZEW, Chorzew 5;;2020.01.01;1;39
303;63-300 PLESZEW, Chorzew 7;808/2024;2024.07.01;2;76
304;63-300 PLESZEW, Chorzew 7A;809/2024;2024.07.01;4;156
305;63-300 PLESZEW, ChrzanÛw 2;924/2024;2024.08.01;3;117
306;63-300 Pleszew, ChrzanÛw 3;;2019.02.01;2;78
307;63-300 Pleszew, ChrzanÛw 4;462/2023;2023.02.01;4;156
308;63-300 PLESZEW, ChrzanÛw 5A;1162/2022;2022.10.01;3;117
309;63-300 Pleszew, ChrzanÛw 6;2644/2020;2020.08.01;6;228
310;63-300 Pleszew, ChrzanÛw 7;;2019.02.01;2;78
311;63-300 Pleszew, ChrzanÛw 8;3051/2020;2020.09.01;6;228
312;63-300 PLESZEW, CHRZAN”W 9;87/2026;2026.01.01;3;114
313;63-300 Pleszew, ChrzanÛw 11;;2019.02.01;1;39
314;63-300 PLESZEW, Dobra Nadzieja 1a;;2019.02.01;4;156
315;63-300 PLESZEW, Dobra Nadzieja 1B;;2019.02.01;3;117
316;63-300 PLESZEW, Dobra Nadzieja 2;;2019.02.01;4;156
317;63-300 Pleszew, Dobra Nadzieja 3;30/2023;2023.01.01;2;78
318;63-300 Pleszew, Dobra Nadzieja 4;;2019.02.01;3;117
319;63-300 Pleszew, Dobra Nadzieja 5;2003/2022;2023.01.01;1;39
320;63-300 PLESZEW, Dobra Nadzieja 5A;1234/2025;2025.04.01;3;117
321;63-300 PLESZEW, Dobra Nadzieja 5B;811/2024;2024.07.01;5;195
322;63-300 PLESZEW, Dobra Nadzieja 5C;3702/2020;2020.12.01;3;117
323;63-300 PLESZEW, Dobra Nadzieja 6;;2019.02.01;4;156
324;63-300 Pleszew, Dobra Nadzieja 6A;1039/2025;2025.04.01;4;156
325;63-300 PLESZEW, Dobra Nadzieja 6B;1498/2024;2024.12.01;1;39
326;63-300 PLESZEW, Dobra Nadzieja 6C;1040/2025;2025.04.01;2;78
327;63-300 Pleszew, Dobra Nadzieja 7;565/2022;2022.05.01;6;228
328;63-300 Pleszew, Dobra Nadzieja 7A;447/2024;2024.04.01;2;78
329;63-300 PLESZEW, Dobra Nadzieja 7B;;2019.02.01;2;78
330;63-300 Pleszew, Dobra Nadzieja 8A;1487/2024;2024.11.01;5;195
331;63-300 Pleszew, Dobra Nadzieja 9;1214/2020;2020.07.01;3;117
332;63-300 PLESZEW, Dobra Nadzieja 9;320/2023;2023.01.01;1;39
333;63-300 Pleszew, Dobra Nadzieja 9A;977/2025;2025.02.01;5;195
334;63-300 Pleszew, Dobra Nadzieja 9B;;2019.02.01;5;195
335;63-300 Pleszew, Dobra Nadzieja 10;630/2023;2023.01.01;5;195
336;63-300 Pleszew, Dobra Nadzieja 11;;2019.02.01;3;117
337;63-300 Pleszew, Dobra Nadzieja 11A;;2019.02.01;5;195
338;63-300 Pleszew, Dobra Nadzieja 11B;2750/2020;2020.10.01;2;76
339;63-300 Pleszew, Dobra Nadzieja 11C;;2019.02.01;3;117
340;63-300 Pleszew, Dobra Nadzieja 11d;1376/2022;2022.09.01;1;39
341;63-300 Pleszew, Dobra Nadzieja 12;3587/2020;2020.11.01;4;152
342;63-300 PLESZEW, Dobra Nadzieja 12A;276/2022;2022.01.01;2;76
343;63-300 PLESZEW, Dobra Nadzieja 14;1378/2025;2025.06.01;6;234
